,title,image,link
247,"Congress approves the Reorganization Acts Amendment that lay the groundwork for the creation of the Environmental Protection Agency, how EPA helps working people. ",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/11/cancer_alley_woman_fishing_with_plants_in_background.jpeg,http://www.lawyersgunsmoneyblog.com/2017/11/day-labor-history-november-8-1970
248,Illinois executed four innocent men for the Haymarket bombing ,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/11/anarchists-haymarket-riot-2.jpg,http://www.lawyersgunsmoneyblog.com/2017/11/day-labor-history-november-11-1887
249,Colorado governor sends militia to crush Cripple Creek strike,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/11/rastall_page_88-1024x770.jpg,http://www.lawyersgunsmoneyblog.com/2017/11/day-labor-history-november-23-1903
250,"Battle in Clearfield County, Pennsylvania over an attempt to break a coal strike, a vision into the early coal mines and miner culture",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/12/487391d8a6fdf79b7ff64961803b7aa7-mining-equipment-coal-mining.jpg,http://www.lawyersgunsmoneyblog.com/2017/12/day-labor-history-december-23-1872
251,"Baptist War in Jamaica, slave rebellion that moves British toward emancipation",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2017/12/Jamaica-slave-revolt.jpg,http://www.lawyersgunsmoneyblog.com/2017/12/day-labor-history-december-25-1831
252,"Zapatista Rebellion begins in Chiapas, Mexico, timed with the implementation of NAFTA.",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/01/72012587_marcos1.jpg,http://www.lawyersgunsmoneyblog.com/2018/01/day-labor-history-january-1-1994
253,"Augustus Hawkins introduces HR 50, becomes Humphrey-Hawkins Act",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/01/Jesse_Jackson_participating_in_a_rally__January_15__1975-1024x691.jpg,http://www.lawyersgunsmoneyblog.com/2018/01/day-labor-history-january-4-1977
254,"General William Tecumseh Sherman issues Special Field Order No. 15 for freed slaves, giving them 40 acres and a mule",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/01/40-acres-and-a-mule-660x330.jpg,http://www.lawyersgunsmoneyblog.com/2018/01/day-labor-history-january-16-1865
255,Founding of the United Mine Workers of America ,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/01/index-7.jpg,http://www.lawyersgunsmoneyblog.com/2018/01/day-labor-history-january-23-1890
256,"Environmentalists storm the gate of International Paper in Jay, Maine during strike that was dominated by unsafe working conditions and pollution ",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/02/FARjStrikeBennett9P061117-1024x668.jpg,http://www.lawyersgunsmoneyblog.com/2018/02/day-labor-history-february-15-1988
257,US Steel signs first contract with Steel Workers Organizing Committee,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/02/d56e31e13da9e279ef99274773d16b1b.jpg,http://www.lawyersgunsmoneyblog.com/2018/03/day-labor-history-march-2-1937
258,"New York City subway strike begins and James Farley breaks it with record speed, gaining fame as the era’s most notorious strikebreaker",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/03/National_Guard_soldiers_were_called_out_to_guard_Kansas_City_streetcars_in_1918_when_motormen_and_conductors_went_on_strike.jpg,http://www.lawyersgunsmoneyblog.com/2018/03/day-labor-history-march-7-1905
259,"Sao Paulo’s metalworkers strike, with Lula as a leader; over 3 million workers go on strike, a massive challenge to the Brazilian dictatorship",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/03/lulasindicato.jpg,http://www.lawyersgunsmoneyblog.com/2018/03/day-labor-history-march-10-1979
260,Luddite movement begins in England,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/03/luddites-podcast.png,http://www.lawyersgunsmoneyblog.com/2018/03/day-labor-history-march-11-1811
261,Soviet military forces crush Kronstadt Rebellion,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/03/kronstadt-1024x698.jpg,http://www.lawyersgunsmoneyblog.com/2018/03/day-labor-history-march-17-1921
262,"Supreme Court decides UAW v. Johnson Controls, ruling that a company banning women from working in hazardous jobs was a discriminatory act",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/03/1200px-Johnson_Controls.svg_-1024x471.png,http://www.lawyersgunsmoneyblog.com/2018/03/day-labor-history-march-20-1991
263,"Supreme Court decided the case of West Coast Hotel Company v. Parrish, upholding the constitutionality of state minimum wage laws",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/03/elsie.jpg,http://www.lawyersgunsmoneyblog.com/2018/03/day-labor-history-march-29-1937
264,Arguments begin in NLRB v. Mackay Radio & Telegraph Company,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/04/554577_10150799145680998_21105385_n.jpg,http://www.lawyersgunsmoneyblog.com/2018/04/day-labor-history-april-5-1938
265,New York slave revolt of 1712,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/04/Slave-revolt-in-New-York-1712-600x400.jpg,http://www.lawyersgunsmoneyblog.com/2018/04/day-labor-history-april-6-1712
266,"Texas City disaster kills at least 581 people, the largest workplace disaster in American history ",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/04/1200px-Txcitydisasterboat-1024x784.jpg,http://www.lawyersgunsmoneyblog.com/2018/04/day-labor-history-april-16-1947
267,"Juan de Villarroel files the first mining claim at Potosí, Bolivia, beginning a long history of exploitation of indigenous labor there",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/04/cities-history-potosi-f7b3aabe.png,http://www.lawyersgunsmoneyblog.com/2018/04/day-labor-history-april-21-1545
268,FDR authorizes seizure of coal mines after UMWA refuses National War Labor Board arbitration,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/04/43062406.gif,http://www.lawyersgunsmoneyblog.com/2018/05/day-labor-history-may-1-1943
269,Abolition of slavery in Brazil,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/05/slavery-exhibit-2_wide-5e165614be4c5a1ac566b710a0c91b416ab93cda-s1500-c85-1024x575.jpg,http://www.lawyersgunsmoneyblog.com/2018/05/day-labor-history-may-13-1888
270,Treaty of Detroit between GM and the United Auto Workers ,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/05/lefevre_1950_GM_small.jpg,http://www.lawyersgunsmoneyblog.com/2018/05/day-labor-history-may-23-1950
271,"UFW comes to agreement with the Bruce Church lettuce company, ending 17-year boycott",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/05/3f2caef0f515ae9b64af70b33ab3cfd0-mexican-american-american-history.jpg,http://www.lawyersgunsmoneyblog.com/2018/05/day-labor-history-may-29-1996
272,Massachusetts establishes its minimum wage commission to create the nation’s first minimum wage ,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/06/HT_04_01_2013_011_min_wage_hb_160411_4x3_992.jpg,http://www.lawyersgunsmoneyblog.com/2018/06/day-labor-history-june-4-1912
273,16 workers at Memphis’ Buckeye Cotton Oil Company go on wildcat strike for discrimination on job,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/06/African_Am_aircraft_factory_WWII_dbloc_adj.gif,http://www.lawyersgunsmoneyblog.com/2018/06/day-labor-history-june-7-1943
274,Congress passes Espionage Act,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/06/hqdefault.jpg,http://www.lawyersgunsmoneyblog.com/2018/06/day-labor-history-june-15-1917
275,Flight attendants win lawsuit against United Airlines for firing them after getting married as far back as the 60s,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/07/9b66ef85d816344c45f3ead34c475988.jpg,http://www.lawyersgunsmoneyblog.com/2018/07/day-labor-history-july-10-1986
276,"Workers at Nissan plant in Smyrna, TN reject UAW representation by 2:1 margin",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/07/241189_360W.png,http://www.lawyersgunsmoneyblog.com/2018/07/day-labor-history-july-27-1989
277,"Frances Perkins speech at Homestead, PA when she is cut off by Homestead government",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/07/Frances-Perkins-at-Desk-2.jpg,http://www.lawyersgunsmoneyblog.com/2018/07/day-labor-history-july-28-1933
278,Family and Medical Leave Act goes into effect,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/08/banner_clinton_Greg-Gibson.jpg,http://www.lawyersgunsmoneyblog.com/2018/08/day-labor-history-august-5-1993
279,London Great Dock Strike begins ,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/08/08.27-dockers-strike-march.jpg,http://www.lawyersgunsmoneyblog.com/2018/08/day-labor-history-august-14-1889
280,New York City theater owners and actors sign agreement ending strike over bad conditions,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/09/Actors-Equity-1919-strike.jpg,http://www.lawyersgunsmoneyblog.com/2018/09/day-labor-history-september-6-1919
281,"workers return to work after victory in IWW-led Pressed Steel Car Company strike at McKees Rocks, Pennsylvania ",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/09/Evicting_Striking_Worker_Families_from_Homes.jpg,http://www.lawyersgunsmoneyblog.com/2018/09/day-labor-history-september-8-1909
282,AFL-CIO Solidarity Day to protest Reagan,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/09/solidarity_march_1981.jpg,http://www.lawyersgunsmoneyblog.com/2018/09/day-labor-history-september-19-1981
283,"T.A. Gillespie Shell Loading Plant near Sayreville, New Jersey exploded, killing approximately 100 workers",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/10/GillespieExplosion.jpg,http://www.lawyersgunsmoneyblog.com/2018/10/day-labor-history-october-4-1918
284,"Workers at Brown and Sharpe factory in North Kingston, Rhode Island begin the longest strike in American history ",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/10/116998-797x1024.jpg,http://www.lawyersgunsmoneyblog.com/2018/10/day-labor-history-october-18-1981
285,"Katsu Goto, a Japanese organizer in Hawaii, is murdered",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/10/index.jpg,http://www.lawyersgunsmoneyblog.com/2018/10/day-labor-history-october-29-1889
286,"Sit-down strike at Hormel plant in Austin, Minnesota begins",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/11/a27-1934-horm-480.jpg,http://www.lawyersgunsmoneyblog.com/2018/11/day-labor-history-november-10-1933
287,New Orleans general strike ends,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/11/new-orleans-general-strike-1892-300x217.jpg,http://www.lawyersgunsmoneyblog.com/2018/11/day-labor-history-november-12-1892
288,Columbine Massacre in Colorado coal strike,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/11/columbine.jpg,http://www.lawyersgunsmoneyblog.com/2018/11/day-labor-history-november-21-1927
289,"Ybor City cigar manufactures ban reading in the factories, leading to strikes ",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/11/440px-Lector_reading_at_Cuesta-Rey_Cigar_Company_-_Tampa_Florida_1929.jpg,http://www.lawyersgunsmoneyblog.com/2018/11/day-labor-history-november-26-1931
290,House passed what becomes Employment Act of 1946,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/12/Administrative_Act_1946.jpg,http://www.lawyersgunsmoneyblog.com/2018/12/day-labor-history-december-14-1945
291,Kansas National Guard breaks up women’s marches to support coal strike,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/12/01.jpg,http://www.lawyersgunsmoneyblog.com/2018/12/day-labor-history-december-15-1921
